Applicant_ID,Gender,Age_Group,Region,Years_Experience,Education_Level,Interview_Score,Hired
1,Female,20-29,North,2,Bachelor,85,Yes
2,Male,30-39,South,8,Master,92,Yes
3,Female,40-49,East,12,PhD,78,No
4,Male,20-29,West,1,Bachelor,65,No
5,Male,30-39,North,6,Bachelor,88,Yes
6,Female,20-29,South,3,Master,81,No
7,Male,40-49,East,15,Bachelor,75,Yes
8,Female,30-39,West,9,Master,89,Yes
9,Male,20-29,North,4,PhD,95,Yes
10,Female,50-59,South,22,Master,70,No
11,Male,30-39,East,7,Bachelor,84,Yes
12,Female,20-29,West,2,Bachelor,79,Yes
13,Male,40-49,North,11,PhD,91,Yes
14,Female,30-39,South,5,Bachelor,72,No
15,Male,20-29,East,3,Master,86,Yes
16,Female,40-49,West,14,Bachelor,68,No
17,Male,30-39,North,8,Master,87,Yes
18,Female,20-29,South,1,Bachelor,76,No
19,Male,50-59,East,25,PhD,93,Yes
20,Female,30-39,West,6,Bachelor,80,Yes
21,Male,20-29,North,2,Master,82,Yes
22,Female,40-49,South,16,Bachelor,69,No
23,Male,30-39,East,9,PhD,88,Yes
24,Female,20-29,West,4,Bachelor,75,No
25,Male,40-49,North,13,Master,90,Yes
26,Female,30-39,South,7,Bachelor,81,Yes
27,Male,20-29,East,1,Bachelor,67,No
28,Female,50-59,West,20,Master,73,No
29,Male,30-39,North,5,PhD,94,Yes
30,Female,20-29,South,3,Bachelor,78,No
